"","t501","t502","MGT","Pmax","t50f1","t50f2","MGTf","Pmaxf"
"214",4.16666666666667,4,5.18181818181818,0.88,4.22122135555623,4.5241978827043,4.26292419348755,0.888854318373223
"215",4.42857142857143,4.35714285714286,5.36,1,4.45372044997718,4.45372044997718,4.49063211782332,1
"216",4.875,4.75,5.5,0.88,4.77461858268564,5.10862220632572,4.8329227969459,0.900954556251324
"217",5,4.875,6.14285714285714,0.84,5.1089724870315,5.5758740462472,5.14922352148304,0.850611286839172
"218",4.9,4.8,5.54545454545455,0.88,4.76939687301077,5.08542214183898,4.81137388309152,0.890787606885768
"219",4.9,4.8,5.58333333333333,0.96,4.76644072913256,4.839743893171,4.80765279303556,0.971285448292047
"220",4.14285714285714,4.07142857142857,4.82608695652174,0.92,NA,NA,NA,NA
"221",4.3,4.2,5.04545454545455,0.88,4.24718021952181,4.52028858913921,4.27804632960022,0.884256068365545
"222",4.28571428571429,4.21428571428571,5.1304347826087,0.92,4.22784168543751,4.37208789266843,4.24894158930534,0.921449386296041
"223",4.21428571428571,4.14285714285714,5.18181818181818,0.88,4.16551746256988,4.42535737511342,4.19342293699387,0.883134665389867
"224",4.0625,4,4.5,0.96,3.86102889756138,3.92426036632122,3.88114667770455,0.961099264129563
"225",5.75,5.66666666666667,6.09090909090909,0.88,5.50625232049349,5.84154989565753,5.55659222325373,0.900132681533718
"226",4.83333333333333,4.75,5.66666666666667,0.84,4.85203236380783,5.21220819745142,4.87440390043138,0.842114334687826
"227",4.4375,4.375,5,0.88,4.29232018776617,4.52254342233875,4.31299319252365,0.881337997011083
"228",4.375,4.25,5.16666666666667,0.72,4.24974473935087,5.25803527011512,4.28971186840432,0.726630725861243
"229",4.5,4.33333333333333,5.18181818181818,0.88,4.32618944703439,4.65195953503039,4.38170776787649,0.896760955486817
"230",4.4,4.3,5.17391304347826,0.92,4.26213640963656,4.42819287150664,4.29189056098916,0.924055750385925
"231",3.94444444444444,3.88888888888889,4.95454545454545,0.88,4.08638942093699,4.33667734572579,4.11248439724509,0.882510690471723
"232",6,5.5,6.04761904761905,0.84,5.19946937634837,5.7008531884413,5.2507131828988,0.8579225396704
"233",3.75,3.70833333333333,4.91304347826087,0.92,4.01339544682614,4.15837859963312,4.03592984980994,0.921630839210958
"234",4.5,4.41666666666667,4.91304347826087,0.92,4.28300389575238,4.44575187288221,4.31097737441553,0.923452892257592
"235",4.75,4.625,5.8695652173913,0.92,4.75028657833416,4.93802228988226,4.79393733502291,0.932195989905935
"236",5.25,5,5.66666666666667,0.72,4.85217314875258,6.03406311580142,4.90429030358418,0.734184619650852
"237",5.83333333333333,5.66666666666667,5.95,0.8,5.29188236718304,5.95062331833958,5.33451345738365,0.812213254790161
"238",4.25,4.125,5.41176470588235,0.68,4.29724924246641,5.53680658086236,4.33352050029329,0.685049608264896
"239",5.25,5.125,6.09523809523809,0.84,5.23389112248,5.75242273302087,5.31939792093637,0.882824682354953
"240",4.5,4.375,5.1304347826087,0.92,4.23077684896095,4.41585666154469,4.28330078467263,0.935265732127929
"241",3.92857142857143,3.85714285714286,4.70833333333333,0.96,3.89327371207434,3.95766206647121,3.91414280939295,0.961262805122877
"242",5.5,5.4,5.7,0.8,4.99318431405684,5.70685422206154,5.05190267522662,0.820604141958205
"243",4.5,4.41666666666667,5.1304347826087,0.92,4.23397795482723,4.41655282748369,4.27720884468432,0.930081313856562
"244",5.16666666666667,5,5.90909090909091,0.88,4.90962777258824,5.23627972638175,4.98711954280671,0.915465400177437
"245",5,4.875,5.52380952380952,0.84,4.70509012032233,5.19290026799618,4.75584966922878,0.854999398277044
"246",4.6875,4.625,5.6,0.8,4.69854997981199,5.19329609268705,4.72265563081131,0.802343834537302
"247",5.25,5.125,5.57142857142857,0.84,4.77509141030553,5.26932219474713,4.82769182441162,0.85644787609438
"248",3.88888888888889,3.83333333333333,5.08695652173913,0.92,3.88904297227148,4.03437357944465,3.91246761001378,0.921753176647954
"249",4.875,4.75,5.35,0.8,4.54686975804876,5.20115440099286,4.59506693214883,0.8122330214754
